Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2021-08-03,756.4910888671875,765.5807727815425,728.3653933653678,736.6460700245744,14678219
2021-08-04,747.8773803710938,759.4417818095078,742.1189979060825,752.8743339147759,5796169
2021-08-05,748.2579956054688,756.1103498279928,745.5453292908029,747.6393020354678,5026619
2021-08-06,747.353759765625,758.0615153268238,743.8796647240081,748.591088789594,4064324
2021-08-09,750.7802734375,754.7778474258802,744.3080412194682,751.1134384909544,2873586
2021-08-10,755.1109008789062,760.2982252049869,744.4983601958434,751.8748140458474,5656020
2021-08-11,741.97607421875,756.6814036825601,736.027321045145,755.7296031747834,4275776
2021-08-12,741.1195068359375,743.5941649796722,735.8846039144806,742.4044143157048,2821380
2021-08-13,740.786376953125,750.4947544505358,730.649735670995,731.9346432117463,4319920
2021-08-16,743.1658325195312,745.259805276899,733.8857774729798,737.8357728583164,2310304
2021-08-17,746.3543701171875,754.9681528481599,740.6911456388274,745.2597763271556,5686055
2021-08-18,745.1646118164062,753.2549158180952,741.738095265599,750.0187709801035,4036305
2021-08-20,724.4629516601562,746.6398910133856,707.5208568035669,737.645364944756,6238261
2021-08-23,724.65380859375,734.8172128228891,716.4944862564786,730.0456724798834,2375417
2021-08-24,736.10546875,742.4039366368329,719.786824888323,725.0832227559663,2732537
2021-08-25,733.9105834960938,740.5430359961,724.8923609058938,734.8171877796353,2254852
2021-08-26,725.7989501953125,735.8668881186702,724.558361423309,730.1888020183839,1735864
2021-08-27,736.534912109375,741.4973254216966,723.4608806939847,725.9898202246534,2432862
2021-08-30,751.2314453125,758.627334045846,733.0518853010939,733.8630239926622,3617125
2021-08-31,757.768310546875,764.400763275752,747.8912453311746,751.4699005899562,7435465
2021-09-01,752.471923828125,767.1682916123352,751.0404617028971,758.7226301256849,2811619
2021-09-02,753.855712890625,759.2952808372239,752.2810811902282,754.1896974349054,2679549
2021-09-03,753.3308715820312,760.7744634501311,748.1775843099293,756.7663575992015,2860730
2021-09-06,748.416015625,756.8616177498401,744.1216298165045,753.3307249043677,4613445
2021-09-07,734.7217407226562,747.2231520237525,731.5724777760613,746.2688440390478,3851664
2021-09-08,741.9268798828125,743.3583421020553,728.6619733526238,732.2406289007308,2548562
2021-09-09,740.829345703125,746.5074903889086,736.2009748458471,736.9167059008699,2008287
2021-09-13,744.6466064453125,747.2232499911024,736.3918762431537,740.829374006022,1935832
2021-09-14,745.6963500976562,751.9947600687306,741.7836520581227,748.8455550831934,1996844
2021-09-15,744.9805297851562,749.8474770663721,743.2150251172498,748.8454653609847,1393824
2021-09-16,745.3623657226562,748.7024442333812,742.7380183213724,744.3603538187081,1353677
2021-09-17,734.7217407226562,751.8992844473402,731.6202397723661,749.1317679931619,4052622
2021-09-20,721.93408203125,739.3502049619443,717.257949014334,731.6680363595918,2206369
2021-09-21,729.568603515625,731.3340503498571,716.7331468470155,721.9341380766125,2123997
2021-09-22,734.9125366210938,738.6343609632412,729.5684353441833,730.0455893241337,1817865
2021-09-23,734.6739501953125,741.6881485582978,731.0952953916469,735.8668351298677,2109768
2021-09-24,735.2467041015625,741.163426106084,727.1827888229575,733.8629456756619,1777859
2021-09-27,728.1848754882812,739.111716254549,725.3696545905269,736.2010878333527,2862731
2021-09-28,739.6841430664062,754.8576642945034,720.4548708896415,731.6679904287823,4938824
2021-09-29,774.230224609375,782.2941404819724,736.1056006853203,748.1776226140486,18565413
2021-09-30,780.862548828125,794.89088857733,769.7448369333804,777.5701744615249,10478553
2021-10-01,788.8309936523438,792.7436915199378,768.5042442792868,774.8981197243096,5730355
2021-10-04,793.9842529296875,800.5690014027596,788.6878551994361,792.075636937068,4007435
2021-10-05,783.009765625,796.2746709981101,777.7133675250682,790.1670760968922,2987134
2021-10-06,764.0191650390625,786.3500014866171,760.8699594493698,782.9622188333665,2910453
2021-10-07,785.6341552734375,788.5924871298922,767.3591315819615,771.1286602835597,4089061
2021-10-08,783.86865234375,795.7020371672636,781.1965432176701,787.3995455171513,2753935
2021-10-11,794.5092163085938,797.992464256758,780.4331714916116,788.2585097509996,2988841
2021-10-12,791.7894287109375,804.243137554202,786.0635802086233,795.4157877798011,2407031
2021-10-13,804.0521850585938,808.1079940147488,789.4512844657031,790.119311707749,4113083
2021-10-14,802.859375,811.1618669343613,799.9487470090922,805.340610952546,2300231
2021-10-18,797.7061157226562,812.1161438604213,794.1274605646344,811.1618358182822,2632795
2021-10-19,789.546875,803.7183868798626,787.9245976385292,798.755972533847,2029762
2021-10-20,777.6657104492188,796.6564070933842,770.6038070612034,787.3519029214378,2089252
2021-10-21,781.0057373046875,791.1213794123889,773.0372300793272,785.4432348228266,3155655
2021-10-22,775.423095703125,789.0696909520638,763.5897092846556,787.399651646339,1709523
2021-10-25,776.0433349609375,783.7255032829663,759.1997742098048,772.9895374845695,2129988
2021-10-26,776.3296508789062,786.2544785648329,769.458620807599,779.6697292785083,1628608
2021-10-27,787.3995971679688,800.1396453665667,778.524543406574,778.524543406574,3569869
2021-10-28,770.6991577148438,791.2645427849703,766.3570677375507,786.3021292767751,1647229
2021-10-29,758.6749267578125,779.2402543181424,743.739981945112,763.446467177673,4321416
2021-11-01,774.7073364257812,776.6636564635702,751.0405062023464,762.444500124955,1935341
2021-11-02,778.1429443359375,797.8016703302231,746.9847577164858,777.4272131723637,17608860
2021-11-03,751.9471435546875,784.4413254981323,745.6486746065281,782.5327091343898,9452138
2021-11-04,759.1044311523438,760.5835971386639,752.4719778467208,760.5835971386639,485870
2021-11-08,763.4464721679688,766.3093964385987,747.2232346343994,761.5378559875488,4280584
2021-11-09,764.73486328125,774.8982690494662,760.5836458527397,763.4465704920849,3232291
2021-11-10,774.039306640625,777.7611316735523,760.5835852071425,763.2079325839551,2900645
2021-11-11,758.5317993164062,773.4190411998536,755.9074519399313,771.9875789945037,2107377
2021-11-12,769.6494140625,771.6057338438933,759.7245874084158,767.2159402736283,2076523
2021-11-15,773.6575927734375,782.1986619668796,769.7926565954548,771.3672300217136,2109222
2021-11-16,761.96728515625,780.0991383676379,759.295234226998,775.1844285407512,1512946
2021-11-17,755.1917114257812,768.2180406306655,751.4222409290799,763.4465000056304,1662900
2021-11-18,754.5237426757812,758.0546361428239,744.4557453553381,753.9034190957086,3177648
2021-11-22,735.5330200195312,757.72068491146,730.0934518161114,755.6688990530221,2894426
2021-11-23,749.3226928710938,755.5733989523438,726.7532841791593,734.8171988548213,2739763
2021-11-24,743.3582153320312,760.5357590335394,740.1135448898783,747.7003050073117,2404041
2021-11-25,747.1278076171875,751.2790244026795,738.9684270618505,740.161312143468,1861259
2021-11-26,732.2405395507812,762.396708237568,727.1827186425616,739.588723028852,5432649
2021-11-29,716.733154296875,739.5888470917546,714.8245379172834,737.6802307121629,4664270
2021-11-30,719.1665649414062,726.8487917870639,711.9615503947999,716.6853871658677,5505266
2021-12-01,711.29345703125,728.3755938306954,706.5219169471969,722.1725917214264,3687799
2021-12-02,731.2385864257812,735.5329729039751,712.0092547859978,718.5940040177661,4896650
2021-12-03,717.44873046875,736.6303558881831,714.6812722639288,736.6303558881831,3135454
2021-12-06,703.4682006835938,718.1645096708498,700.1758262696529,716.8762171049491,2577704
2021-12-07,709.7190551757812,716.6854937318939,701.4165617748895,707.2378187849563,2583462
2021-12-08,722.9361572265625,728.6143026027299,713.2022020454683,715.9220153330524,2530785
2021-12-09,725.03564453125,731.7635055953007,721.600158359158,723.5564784917756,2604449
2021-12-10,726.5625,739.5888297844197,719.7392315504429,719.7392315504429,2950388
2021-12-13,727.7552490234375,738.0140599039269,724.3197635619946,728.9481340095409,2491218
2021-12-14,721.5046997070312,733.6244254416462,719.1666329783051,722.649881191137,3224172
2021-12-15,739.6841430664062,743.2627982384724,711.2457749483214,718.1168045279567,6231786
2021-12-16,729.5208129882812,750.5632942025425,725.274130443652,750.5632942025425,6186549
2021-12-17,733.815185546875,737.0597979639861,719.0711145482109,727.1827329605,7171030
2021-12-20,729.0436401367188,739.3024515854262,718.6416591832141,732.9085760564985,7474026
2021-12-21,742.9764404296875,748.1297266416199,729.1389751992658,729.1389751992658,5599344
2021-12-22,761.060791015625,764.4008697222766,741.9746269776156,749.131938491869,5871235
2021-12-23,756.241455078125,767.2159980769665,753.9033886160597,765.2119161467634,4277384
2021-12-24,749.5136108398438,758.4840721014696,742.069961005154,757.1480756989353,3076272
2021-12-27,757.81591796875,760.201687837996,745.4576766431238,748.1774309955302,3598487
2021-12-28,777.8564453125,782.4371704144578,757.9114426036102,759.6291853936749,5477769
2021-12-29,800.4735717773438,805.1020007161101,779.1925141485796,784.9183623848214,8748856
2021-12-30,796.3223876953125,803.4796982835386,789.5467653906527,798.4218771171273,5179861
2021-12-31,807.058349609375,812.0684669964987,795.8929334973735,796.3223837798241,3346523
2022-01-03,810.159912109375,820.752709230304,802.4777431841654,806.3903832838085,3726756
2022-01-04,799.423828125,814.9790369706045,794.3660073434196,813.5475749618739,3027262
2022-01-05,796.9426879882812,805.9609113746601,792.696063449893,801.6188210764318,2436343
2022-01-06,791.6939697265625,806.294930129428,784.4412515267986,799.5193077292615,2423850
2022-01-07,791.0737915039062,797.8016526430737,787.4951357653757,791.6940568841082,1475374
2022-01-10,788.9264526367188,796.8471975620195,780.194510945737,794.07968100249,4837873
2022-01-11,794.3660888671875,803.0502693128531,790.4533906939707,792.9346267115496,4950526
2022-01-12,797.9924926757812,806.3903928096179,789.6900000591228,806.3903928096179,3953446
2022-01-13,825.9535522460938,831.202246107854,796.1314280315468,797.9923402318017,7395140
2022-01-14,820.4663696289062,829.19831183655,817.6511491510186,825.9536410745197,2351963
2022-01-17,814.2156982421875,823.9496526988262,811.6390546733206,820.4664047682392,1750754
2022-01-18,808.0126953125,827.5760117351955,806.3903598623245,815.9334410441272,3354708
2022-01-19,800.1873779296875,809.2533052884615,795.8929912860577,809.2533052884615,1677779
2022-01-20,782.53271484375,804.2432261397199,778.3814975208626,800.9508512389733,2886894
2022-01-21,771.7966918945312,782.2463774556953,764.4962114794638,779.1925798230415,3218477
2022-01-24,764.257568359375,787.3041307582902,755.4302190145094,767.2636619753519,5300160
2022-01-25,771.1286010742188,774.6118487232786,748.940939115403,754.8576606203552,3779497
2022-01-27,774.99365234375,780.0515323122172,755.1440537807804,765.3551629911542,3593525
2022-01-28,789.546875,804.3864142767716,774.9936747835828,778.7155001046823,5073701
